,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
47,2024-05-15,20,La Liga,Matchweek 36,Wed,Home,,,,Cádiz,,,,,,,,Head-to-Head,,2024,Sevilla,,,,,,
48,2024-05-19,17,La Liga,Matchweek 37,Sun,Away,,,,Athletic Club,,,,,,,,Head-to-Head,,2024,Sevilla,,,,,,
49,2024-05-25,17,La Liga,Matchweek 38,Sat,Home,,,,Barcelona,,,,,,,,Head-to-Head,,2024,Sevilla,,,,,,
39,2024-05-11,17,La Liga,Matchweek 35,Sat,Away,,,,Athletic Club,,,,,,,,Head-to-Head,,2024,Osasuna,,,,,,
40,2024-05-14,20,La Liga,Matchweek 36,Tue,Home,,,,Mallorca,,,,,,,,Head-to-Head,,2024,Osasuna,,,,,,
41,2024-05-19,19,La Liga,Matchweek 37,Sun,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,,2024,Osasuna,,,,,,
42,2024-05-25,18,La Liga,Matchweek 38,Sat,Home,,,,Villarreal,,,,,,,,Head-to-Head,,2024,Osasuna,,,,,,
37,2024-05-11,19,La Liga,Matchweek 35,Sat,Away,,,,Mallorca,,,,,,,,Head-to-Head,,2024,Las Palmas,,,,,,
38,2024-05-16,20,La Liga,Matchweek 36,Thu,Home,,,,Betis,,,,,,,,Head-to-Head,,2024,Las Palmas,,,,,,
39,2024-05-19,20,La Liga,Matchweek 37,Sun,Away,,,,Cádiz,,,,,,,,Head-to-Head,,2024,Las Palmas,,,,,,
40,2024-05-25,20,La Liga,Matchweek 38,Sat,Home,,,,Alavés,,,,,,,,Head-to-Head,,2024,Las Palmas,,,,,,
39,2024-05-12,19,La Liga,Matchweek 35,Sun,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,,2024,Celta Vigo,,,,,,
40,2024-05-15,19,La Liga,Matchweek 36,Wed,Home,,,,Athletic Club,,,,,,,,Head-to-Head,,2024,Celta Vigo,,,,,,
41,2024-05-19,19,La Liga,Matchweek 37,Sun,Away,,,,Granada,,,,,,,,Head-to-Head,,2024,Celta Vigo,,,,,,
42,2024-05-25,18,La Liga,Matchweek 38,Sat,Home,,,,Valencia,,,,,,,,Head-to-Head,,2024,Celta Vigo,,,,,,
38,2024-05-12,20,La Liga,Matchweek 35,Sun,Away,,,,Valencia,,,,,,,,Head-to-Head,,2024,Rayo Vallecano,,,,,,
39,2024-05-15,20,La Liga,Matchweek 36,Wed,Home,,,,Granada,,,,,,,,Head-to-Head,,2024,Rayo Vallecano,,,,,,
40,2024-05-19,17,La Liga,Matchweek 37,Sun,Away,,,,Barcelona,,,,,,,,Head-to-Head,,2024,Rayo Vallecano,,,,,,
41,2024-05-25,20,La Liga,Matchweek 38,Sat,Home,,,,Athletic Club,,,,,,,,Head-to-Head,,2024,Rayo Vallecano,,,,,,
42,2024-05-11,17,La Liga,Matchweek 35,Sat,Home,,,,Las Palmas,,,,,,,,Head-to-Head,,2024,Mallorca,,,,,,
43,2024-05-14,19,La Liga,Matchweek 36,Tue,Away,,,,Osasuna,,,,,,,,Head-to-Head,,2024,Mallorca,,,,,,
44,2024-05-19,20,La Liga,Matchweek 37,Sun,Home,,,,Almería,,,,,,,,Head-to-Head,,2024,Mallorca,,,,,,
45,2024-05-25,20,La Liga,Matchweek 38,Sat,Away,,,,Getafe,,,,,,,,Head-to-Head,,2024,Mallorca,,,,,,
36,2024-05-12,20,La Liga,Matchweek 35,Sun,Home,,,,Getafe,,,,,,,,Head-to-Head,,2024,Cadiz,,,,,,
37,2024-05-15,20,La Liga,Matchweek 36,Wed,Away,,,,Sevilla,,,,,,,,Head-to-Head,,2024,Cadiz,,,,,,
38,2024-05-19,20,La Liga,Matchweek 37,Sun,Home,,,,Las Palmas,,,,,,,,Head-to-Head,,2024,Cadiz,,,,,,
39,2024-05-25,17,La Liga,Matchweek 38,Sat,Away,,,,Almería,,,,,,,,Head-to-Head,,2024,Cadiz,,,,,,
35,2024-05-11,17,La Liga,Matchweek 35,Sat,Home,,,,Real Madrid,,,,,,,,Head-to-Head,,2024,Granada,,,,,,
36,2024-05-15,17,La Liga,Matchweek 36,Wed,Away,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,2024,Granada,,,,,,
37,2024-05-19,19,La Liga,Matchweek 37,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,,2024,Granada,,,,,,
38,2024-05-25,20,La Liga,Matchweek 38,Sat,Away,,,,Girona,,,,,,,,Head-to-Head,,2024,Granada,,,,,,
36,2024-05-12,20,La Liga,Matchweek 35,Sun,Away,,,,Betis,,,,,,,,Head-to-Head,,2024,Almeria,,,,,,
37,2024-05-16,18,La Liga,Matchweek 36,Thu,Home,,,,Barcelona,,,,,,,,Head-to-Head,,2024,Almeria,,,,,,
38,2024-05-19,19,La Liga,Matchweek 37,Sun,Away,,,,Mallorca,,,,,,,,Head-to-Head,,2024,Almeria,,,,,,
39,2024-05-25,17,La Liga,Matchweek 38,Sat,Home,,,,Cádiz,,,,,,,,Head-to-Head,,2024,Almeria,,,,,,
